"Time (s) Run #5","Temperature (°C) Run #5"
799.500,83.5
800.000,83.5
800.500,83.5
801.000,83.5
801.500,83.5
802.000,83.5
802.500,83.5
803.000,83.5
803.500,83.5
804.000,83.5
804.500,83.5
805.000,83.5
805.500,83.5
806.000,83.5
806.500,83.5
807.000,83.5
807.500,83.5
808.000,83.5
808.500,83.5
809.000,83.5
809.500,83.5
810.000,83.5
810.500,83.4
811.000,83.4
811.500,83.4
812.000,83.4
812.500,83.4
813.000,83.4
813.500,83.4
814.000,83.4
814.500,83.4
815.000,83.4
815.500,83.4
816.000,83.4
816.500,83.4
817.000,83.4
817.500,83.4
818.000,83.4
818.500,83.4
819.000,83.4
819.500,83.4
820.000,83.4
820.500,83.4
821.000,83.4
821.500,83.4
822.000,83.4
822.500,83.4
823.000,83.4
823.500,83.4
824.000,83.4
824.500,83.4
825.000,83.4
825.500,83.4
826.000,83.4
826.500,83.4
827.000,83.4
827.500,83.4
828.000,83.4
828.500,83.4
829.000,83.4
829.500,83.4
830.000,83.4
830.500,83.4
831.000,83.4
831.500,83.4
832.000,83.4
832.500,83.4
833.000,83.4
833.500,83.4
834.000,83.4
834.500,83.4
835.000,83.3
835.500,83.3
836.000,83.3
836.500,83.3
837.000,83.3
837.500,83.3
838.000,83.3
838.500,83.3
839.000,83.3
839.500,83.3
840.000,83.3
840.500,83.3
841.000,83.3
841.500,83.3
842.000,83.3
842.500,83.3
843.000,83.3
843.500,83.3
844.000,83.3
844.500,83.2
845.000,83.2
845.500,83.2
846.000,83.2
846.500,83.2
847.000,83.2
847.500,83.2
848.000,83.2
848.500,83.2
849.000,83.2
849.500,83.2
850.000,83.2
850.500,83.2
851.000,83.2
851.500,83.2
852.000,83.2
852.500,83.2
853.000,83.2
853.500,83.2
854.000,83.2
854.500,83.2
855.000,83.2
855.500,83.1
856.000,83.1
856.500,83.1
857.000,83.1
857.500,83.1
858.000,83.1
858.500,83.1
859.000,83.1
859.500,83.1
860.000,83.1
860.500,83.1
861.000,83.1
861.500,83.1
862.000,83.1
862.500,83.1
863.000,83.1
863.500,83.1
864.000,83.1
864.500,83.1
865.000,83.1
