#dadi:   5
#lanci:  2000000
#volte:  10000
#thread: 50
#totale: 1000000000000
[12950/500000|2%]	10408663984	10408615775	4163387428	832733081	83270222	3329510
[13000/500000|2%]	10448846392	10448804009	4179464752	835951157	83591103	3342587
[13050/500000|2%]	10489032079	10488994814	4195540125	839165797	83911749	3355436
[13100/500000|2%]	10529222252	10529178833	4211616734	842381316	84232659	3368206
[13150/500000|2%]	10569403145	10569370549	4227693160	845597440	84554875	3380831
[13200/500000|2%]	10609587500	10609558788	4243771031	848813001	84875952	3393728
[13250/500000|2%]	10649773121	10649744367	4259852635	852025482	85197883	3406512
[13300/500000|2%]	10689972446	10689928036	4275922861	855237515	85519807	3419335
[13350/500000|2%]	10730158820	10730116564	4291997870	858453130	85841352	3432264
[13400/500000|2%]	10770344784	10770306614	4308069836	861670196	86163335	3445235
[13450/500000|2%]	10810526193	10810498078	4324147213	864886287	86484128	3458101
[13500/500000|2%]	10850706040	10850695944	4340219687	868101459	86806004	3470866
[13550/500000|2%]	10890898755	10890876546	4356299351	871312950	87128528	3483870
[13600/500000|2%]	10931086997	10931063673	4372372718	874528769	87450811	3497032
[13650/500000|2%]	10971270023	10971257523	4388447948	877742415	87772189	3509902
[13700/500000|2%]	11011449261	11011450027	4404524995	880960021	88092890	3522806
[13750/500000|2%]	11051632455	11051637755	4420601600	884177418	88415110	3535662
[13800/500000|2%]	11091819541	11091831051	4436670394	887393392	88737020	3548602
[13850/500000|2%]	11132001672	11132023001	4452747306	890609157	89057371	3561493
[13900/500000|2%]	11172190640	11172212772	4468817655	893824682	89379834	3574417
[13950/500000|2%]	11212386790	11212391257	4484894445	897037783	89702327	3587398
[14000/500000|2%]	11252578362	11252578021	4500967284	900252514	90023475	3600344
[14050/500000|2%]	11292760979	11292775439	4517036280	903469158	90345020	3613124
[14100/500000|2%]	11332946529	11332964091	4533111321	906685287	90666718	3626054
[14150/500000|2%]	11373138197	11373143388	4549190106	909900804	90988565	3638940
[14200/500000|2%]	11413327911	11413328365	4565268360	913112919	91310661	3651784
[14250/500000|2%]	11453514563	11453515635	4581341850	916330701	91632531	3664720
[14300/500000|2%]	11493698603	11493703826	4597419240	919547145	91953599	3677587
[14350/500000|2%]	11533887877	11533889679	4613493235	922763573	92275158	3690478
[14400/500000|2%]	11574080392	11574074326	4629564228	925980778	92596904	3703372
[14450/500000|2%]	11614263194	11614263361	4645644695	929194059	92918717	3715974
[14500/500000|2%]	11654453953	11654449777	4661717939	932409299	93240071	3728961
[14550/500000|2%]	11694639615	11694636775	4677796087	935624392	93561095	3742036
[14600/500000|2%]	11734827958	11734829997	4693864063	938840822	93882450	3754710
[14650/500000|2%]	11775008599	11775020832	4709940685	942057676	94204652	3767556
[14700/500000|2%]	11815192510	11815207854	4726022675	945270496	94526120	3780345
[14750/500000|2%]	11855374740	11855397645	4742097496	948488838	94848135	3793146
[14800/500000|2%]	11895565498	11895589803	4758163526	951705906	95169245	3806022
[14850/500000|2%]	11935754367	11935778894	4774236233	954921255	95490300	3818951
[14900/500000|2%]	11975943341	11975964357	4790312931	958135761	95811871	3831739
[14950/500000|2%]	12016137123	12016144002	4806386278	961352975	96134864	3844758
[15000/500000|3%]	12056325640	12056332045	4822462962	964565070	96456627	3857656
[15050/500000|3%]	12096522747	12096512321	4838536581	967780604	96777163	3870584
[15100/500000|3%]	12136709461	12136698456	4854614114	970995196	97099425	3883348
[15150/500000|3%]	12176898814	12176883311	4870687551	974212801	97421111	3896412
[15200/500000|3%]	12217091342	12217065099	4886764108	977428418	97741897	3909136
[15250/500000|3%]	12257274866	12257253149	4902843137	980643912	98062933	3922003
[15300/500000|3%]	12297463988	12297442059	4918917128	983857138	98384771	3934916
[15350/500000|3%]	12337650790	12337630719	4934992898	987070339	98707589	3947665
[15400/500000|3%]	12377842555	12377812664	4951072098	990283345	99028762	3960576
[15450/500000|3%]	12418031263	12417999261	4967148480	993497791	99349739	3973466
[15500/500000|3%]	12458218621	12458184619	4983227794	996711363	99671435	3986168
[15550/500000|3%]	12498404470	12498377938	4999300571	999925750	99992242	3999029
[15600/500000|3%]	12538590320	12538572837	5015373829	1003137019	100314165	4011830
[15650/500000|3%]	12578773845	12578764243	5031447546	1006353678	100636042	4024646
[15700/500000|3%]	12618954783	12618959922	5047520180	1009569962	100957713	4037440
[15750/500000|3%]	12659140055	12659152021	5063591992	1012786662	101278845	4050425
[15800/500000|3%]	12699329384	12699337350	5079666548	1016003334	101600256	4063128
[15850/500000|3%]	12739512353	12739528218	5095743090	1019219579	101920992	4075768
[15900/500000|3%]	12779694783	12779716427	5111822222	1022434392	102243507	4088669
[15950/500000|3%]	12819885174	12819903364	5127898301	1025647243	102564576	4101342
[16000/500000|3%]	12860073691	12860095378	5143968187	1028862225	102886433	4114086
[16050/500000|3%]	12900261000	12900284911	5160043860	1032076022	103207093	4127114
[16100/500000|3%]	12940451547	12940474669	5176112657	1035291862	103529283	4139982
[16150/500000|3%]	12980642528	12980662730	5192184484	1038505145	103852257	4152856
[16200/500000|3%]	13020837971	13020849048	5208253450	1041719845	104173752	4165934
[16250/500000|3%]	13061025231	13061038825	5224325923	1044935745	104495391	4178885
[16300/500000|3%]	13101214479	13101232694	5240393885	1048149817	104817315	4191810
[16350/500000|3%]	13141407694	13141420900	5256462409	1051364730	105139643	4204624
[16400/500000|3%]	13181606351	13181600746	5272535878	1054579130	105460573	4217322
[16450/500000|3%]	13221793794	13221794069	5288605760	1057794310	105781762	4230305
[16500/500000|3%]	13261992824	13261979527	5304673942	1061007027	106103438	4243242
[16550/500000|3%]	13302179213	13302168480	5320748474	1064222511	106425038	4256284
[16600/500000|3%]	13342366604	13342355344	5336826839	1067434964	106747073	4269176
[16650/500000|3%]	13382562566	13382537743	5352900685	1070648038	107068973	4281995
[16700/500000|3%]	13422745861	13422726115	5368978158	1073864915	107390125	4294826
[16750/500000|3%]	13462937228	13462911038	5385053544	1077077985	107712467	4307738
[16800/500000|3%]	13503129467	13503096869	5401126665	1080292426	108033900	4320673
[16850/500000|3%]	13543317908	13543282825	5417204426	1083505356	108355906	4333579
[16900/500000|3%]	13583505773	13583475463	5433273088	1086721683	108677569	4346424
[16950/500000|3%]	13623692650	13623663648	5449348897	1089936578	108998860	4359367
[17000/500000|3%]	13663868079	13663860935	5465427284	1093151786	109319829	4372087
[17050/500000|3%]	13704058996	13704042818	5481501958	1096370220	109641166	4384842
[17100/500000|3%]	13744237838	13744238227	5497575160	1099586838	109964339	4397598
[17150/500000|3%]	13784421862	13784426760	5513651056	1102804813	110285232	4410277
[17200/500000|3%]	13824608287	13824617183	5529724224	1106020015	110607161	4423130
[17250/500000|3%]	13864798047	13864803705	5545798124	1109235427	110928662	4436035
[17300/500000|3%]	13904982708	13904994338	5561872136	1112450562	111251197	4449059
[17350/500000|3%]	13945170113	13945181104	5577948279	1115665441	111573192	4461871
[17400/500000|3%]	13985361151	13985368314	5594021617	1118880025	111894364	4474529
[17450/500000|3%]	14025542846	14025559809	5610098241	1122095704	112216034	4487366
