min.x,δ(min.x),min.y,δ(min.y),ln(min.y),δ(ln(min.y)),max.x,δ(max.x),max.y,δ(max.y),ln(max.y),δ(ln(max.y))
70.661,0.073,-0.129,0.02,-2.047942874620465,0.15503875968992248,71.2045,0.09,0.12400000000000001,0.02,-2.0874737133771,0.16129032258064516
71.752,0.039,-0.129,0.02,-2.047942874620465,0.15503875968992248,72.2945,0.064,0.12400000000000001,0.02,-2.0874737133771,0.16129032258064516
72.839,0.079,-0.124,0.02,-2.0874737133771,0.16129032258064516,73.3835,0.094,0.12000000000000001,0.02,-2.120263536200091,0.16666666666666666
73.929,0.047,-0.124,0.02,-2.0874737133771,0.16129032258064516,74.473,0.07100000000000001,0.12000000000000001,0.02,-2.120263536200091,0.16666666666666666
75.018,0.085,-0.12,0.02,-2.120263536200091,0.16666666666666669,75.5645,0.032,0.12000000000000001,0.02,-2.120263536200091,0.16666666666666666
76.10749999999999,0.058,-0.12,0.02,-2.120263536200091,0.16666666666666669,76.6515,0.082,0.116,0.02,-2.1541650878757723,0.17241379310344826
77.196,0.091,-0.11599999999999999,0.02,-2.1541650878757723,0.1724137931034483,77.741,0.055,0.116,0.02,-2.1541650878757723,0.17241379310344826
78.2855,0.066,-0.11599999999999999,0.02,-2.1541650878757723,0.1724137931034483,78.8295,0.09,0.111,0.02,-2.198225077669803,0.18018018018018017
79.377,0.031,-0.11599999999999999,0.02,-2.1541650878757723,0.1724137931034483,79.91900000000001,0.067,0.111,0.02,-2.198225077669803,0.18018018018018017
80.4635,0.084,-0.111,0.02,-2.198225077669803,0.18018018018018017,81.011,0.031,0.111,0.02,-2.198225077669803,0.18018018018018017
81.55300000000001,0.059000000000000004,-0.111,0.02,-2.198225077669803,0.18018018018018017,82.09649999999999,0.084,0.107,0.02,-2.234926444520231,0.1869158878504673
82.641,0.099,-0.103,0.02,-2.2730262907525014,0.19417475728155342,83.1865,0.06,0.111,0.02,-2.198225077669803,0.18018018018018017
83.7305,0.078,-0.103,0.02,-2.2730262907525014,0.19417475728155342,84.2745,0.1,0.107,0.02,-2.234926444520231,0.1869158878504673
84.82050000000001,0.052000000000000005,-0.103,0.02,-2.2730262907525014,0.19417475728155342,85.364,0.081,0.107,0.02,-2.234926444520231,0.1869158878504673
85.90800000000002,0.097,-0.09799999999999999,0.02,-2.3227878003115654,0.20408163265306126,86.45400000000001,0.055,0.107,0.02,-2.234926444520231,0.1869158878504673
86.99799999999999,0.077,-0.09799999999999999,0.02,-2.3227878003115654,0.20408163265306126,87.5415,0.10200000000000001,0.10200000000000001,0.02,-2.2827824656978657,0.19607843137254902
88.088,0.049,-0.09799999999999999,0.02,-2.3227878003115654,0.20408163265306126,88.6305,0.082,0.10200000000000001,0.02,-2.2827824656978657,0.19607843137254902
89.175,0.095,-0.094,0.02,-2.364460496712133,0.2127659574468085,89.7205,0.056,0.10200000000000001,0.02,-2.2827824656978657,0.19607843137254902
90.2645,0.074,-0.094,0.02,-2.364460496712133,0.2127659574468085,90.80850000000001,0.1,0.098,0.02,-2.322787800311565,0.20408163265306123
91.3545,0.044,-0.09,0.02,-2.4079456086518722,0.22222222222222224,91.898,0.079,0.10200000000000001,0.02,-2.2827824656978657,0.19607843137254902
92.442,0.099,-0.08499999999999999,0.02,-2.4651040224918206,0.23529411764705885,92.988,0.049,0.098,0.02,-2.322787800311565,0.20408163265306123
93.53099999999999,0.077,-0.09,0.02,-2.4079456086518722,0.22222222222222224,94.0745,0.1,0.094,0.02,-2.364460496712133,0.2127659574468085
94.622,0.045,-0.09,0.02,-2.4079456086518722,0.22222222222222224,95.164,0.079,0.094,0.02,-2.364460496712133,0.2127659574468085
95.708,0.101,-0.08499999999999999,0.02,-2.4651040224918206,0.23529411764705885,96.25399999999999,0.051000000000000004,0.094,0.02,-2.364460496712133,0.2127659574468085
96.7975,0.08,-0.08499999999999999,0.02,-2.4651040224918206,0.23529411764705885,97.34150000000001,0.106,0.08900000000000001,0.02,-2.419118909249997,0.2247191011235955
97.88749999999999,0.052000000000000005,-0.08499999999999999,0.02,-2.4651040224918206,0.23529411764705885,98.431,0.08700000000000001,0.08900000000000001,0.02,-2.419118909249997,0.2247191011235955
98.97500000000001,0.107,-0.081,0.02,-2.513306124309698,0.24691358024691357,99.5205,0.066,0.08900000000000001,0.02,-2.419118909249997,0.2247191011235955
100.06400000000001,0.091,-0.081,0.02,-2.513306124309698,0.24691358024691357,100.6145,0.024,0.08900000000000001,0.02,-2.419118909249997,0.2247191011235955
101.15350000000001,0.068,-0.081,0.02,-2.513306124309698,0.24691358024691357,101.697,0.101,0.085,0.02,-2.4651040224918206,0.23529411764705882
102.247,0.029,-0.081,0.02,-2.513306124309698,0.24691358024691357,102.7865,0.082,0.085,0.02,-2.4651040224918206,0.23529411764705882
