min.x,δ(min.x),min.y,δ(min.y),min.y.exp,δ(min.y.exp),max.x,δ(max.x),max.y,δ(max.y),max.y.exp,δ(max.y.exp)
66.91850000000001,0.088,-0.063,0.02,1.0650268392313054,0.02130053678462611,67.559,0.063,0.072,0.02,1.0650268392313054,0.02130053678462611
68.19399999999999,0.14100000000000001,-0.063,0.02,1.0650268392313054,0.02130053678462611,68.83200000000001,0.127,0.068,0.02,1.0650268392313054,0.02130053678462611
69.472,0.101,-0.063,0.02,1.0650268392313054,0.02130053678462611,70.1105,0.078,0.063,0.02,1.0650268392313054,0.02130053678462611
70.747,0.153,-0.063,0.02,1.0650268392313054,0.02130053678462611,71.38499999999999,0.139,0.059,0.02,1.0650268392313054,0.02130053678462611
72.0235,0.116,-0.063,0.02,1.0650268392313054,0.02130053678462611,72.663,0.097,0.059,0.02,1.0650268392313054,0.02130053678462611
73.3035,0.058,-0.063,0.02,1.0650268392313054,0.02130053678462611,73.9375,0.158,0.055,0.02,1.0650268392313054,0.02130053678462611
74.57650000000001,0.136,-0.059000000000000004,0.02,1.060775240740159,0.02121550481480318,75.214,0.123,0.055,0.02,1.060775240740159,0.02121550481480318
75.8535,0.092,-0.059000000000000004,0.02,1.060775240740159,0.02121550481480318,76.49249999999999,0.068,0.055,0.02,1.060775240740159,0.02121550481480318
77.128,0.153,-0.054,0.02,1.05548460215508,0.0211096920431016,77.7665,0.14,0.049999999999999996,0.02,1.05548460215508,0.0211096920431016
78.405,0.113,-0.054,0.02,1.05548460215508,0.0211096920431016,79.044,0.093,0.049999999999999996,0.02,1.05548460215508,0.0211096920431016
79.68,0.177,-0.05,0.02,1.0512710963760241,0.021025421927520483,80.318,0.165,0.046,0.02,1.0512710963760241,0.021025421927520483
80.9565,0.14200000000000002,-0.05,0.02,1.0512710963760241,0.021025421927520483,81.59400000000001,0.129,0.046,0.02,1.0512710963760241,0.021025421927520483
82.234,0.095,-0.05,0.02,1.0512710963760241,0.021025421927520483,82.8725,0.07200000000000001,0.046,0.02,1.0512710963760241,0.021025421927520483
