min.x,δ(min.x),min.y,δ(min.y),max.x,δ(max.x),max.y,δ(max.y)
263.592,0.091,-0.019999999999999997,0.02,264.12149999999997,0.054,0.05,0.02
264.64250000000004,0.08,-0.019999999999999997,0.02,265.1645,0.18,0.046,0.02
265.6935,0.068,-0.019999999999999997,0.02,266.215,0.17500000000000002,0.046,0.02
266.746,0.051000000000000004,-0.019999999999999997,0.02,267.2645,0.17,0.046,0.02
267.79,0.179,-0.015,0.02,268.31399999999996,0.165,0.046,0.02
268.8395,0.17400000000000002,-0.015,0.02,269.364,0.159,0.046,0.02
269.889,0.169,-0.015,0.02,270.4145,0.154,0.046,0.02
270.939,0.163,-0.015,0.02,271.464,0.147,0.046,0.02
271.98900000000003,0.157,-0.015,0.02,272.514,0.14100000000000001,0.046,0.02
273.03900000000004,0.151,-0.015,0.02,273.5635,0.134,0.046,0.02
274.089,0.145,-0.015,0.02,274.61400000000003,0.127,0.046,0.02
275.139,0.139,-0.015,0.02,275.66400000000004,0.11900000000000001,0.046,0.02
276.1885,0.132,-0.015,0.02,276.714,0.111,0.046,0.02
277.2385,0.124,-0.015,0.02,277.764,0.101,0.046,0.02
278.2885,0.116,-0.015,0.02,278.814,0.091,0.046,0.02
279.3385,0.108,-0.015,0.02,279.865,0.079,0.046,0.02
280.389,0.097,-0.015,0.02,280.916,0.065,0.046,0.02
281.4395,0.08600000000000001,-0.015,0.02,281.96999999999997,0.043000000000000003,0.046,0.02
282.49,0.073,-0.015,0.02,283.0105,0.184,0.040999999999999995,0.02
283.54249999999996,0.056,-0.015,0.02,284.0605,0.178,0.040999999999999995,0.02
284.58500000000004,0.189,-0.011,0.02,285.11,0.17300000000000001,0.040999999999999995,0.02
285.635,0.183,-0.011,0.02,286.16,0.167,0.040999999999999995,0.02
286.6845,0.178,-0.011,0.02,287.21,0.161,0.040999999999999995,0.02
287.73400000000004,0.17300000000000001,-0.011,0.02,288.26,0.155,0.040999999999999995,0.02
288.784,0.167,-0.011,0.02,289.30949999999996,0.148,0.040999999999999995,0.02
289.834,0.161,-0.011,0.02,290.35949999999997,0.14200000000000002,0.040999999999999995,0.02
290.88399999999996,0.155,-0.011,0.02,291.4095,0.134,0.040999999999999995,0.02
291.93350000000004,0.148,-0.011,0.02,292.459,0.125,0.040999999999999995,0.02
292.983,0.14100000000000001,-0.011,0.02,293.5095,0.116,0.040999999999999995,0.02
294.033,0.133,-0.011,0.02,294.5595,0.106,0.040999999999999995,0.02
295.0835,0.124,-0.011,0.02,295.576,0.163,0.037000000000000005,0.02
296.13349999999997,0.114,-0.015,0.02,296.6605,0.084,0.037000000000000005,0.02
297.1835,0.10400000000000001,-0.015,0.02,297.7115,0.068,0.037000000000000005,0.02
298.2335,0.094,-0.015,0.02,298.7665,0.044,0.037000000000000005,0.02
299.284,0.081,-0.015,0.02,299.805,0.20500000000000002,0.033,0.02
300.3355,0.066,-0.015,0.02,300.85450000000003,0.2,0.033,0.02
301.3925,0.036000000000000004,-0.015,0.02,301.904,0.195,0.033,0.02
302.429,0.209,-0.011,0.02,302.9535,0.19,0.033,0.02
303.479,0.20500000000000002,-0.011,0.02,304.00399999999996,0.185,0.033,0.02
304.529,0.199,-0.011,0.02,305.0535,0.18,0.028,0.02
305.5785,0.194,-0.015,0.02,306.103,0.17300000000000001,0.028,0.02
306.62850000000003,0.188,-0.015,0.02,307.153,0.167,0.028,0.02
307.678,0.183,-0.015,0.02,308.2025,0.16,0.028,0.02
308.728,0.177,-0.015,0.02,309.2525,0.152,0.028,0.02
309.778,0.171,-0.015,0.02,310.303,0.145,0.028,0.02
310.828,0.163,-0.015,0.02,311.353,0.139,0.028,0.02
311.878,0.157,-0.015,0.02,312.403,0.129,0.028,0.02
312.928,0.149,-0.015,0.02,313.45300000000003,0.121,0.028,0.02
313.978,0.14100000000000001,-0.015,0.02,314.50350000000003,0.11,0.028,0.02
315.028,0.133,-0.015,0.02,315.55400000000003,0.099,0.028,0.02
316.078,0.123,-0.015,0.02,316.605,0.085,0.028,0.02
317.12899999999996,0.113,-0.015,0.02,317.657,0.067,0.028,0.02
318.1795,0.1,-0.015,0.02,318.7,0.231,0.024000000000000004,0.02
319.2305,0.088,-0.015,0.02,319.75,0.225,0.024000000000000004,0.02
320.28299999999996,0.069,-0.015,0.02,320.8,0.221,0.024000000000000004,0.02
321.3245,0.234,-0.011,0.02,321.85,0.215,0.024000000000000004,0.02
322.37449999999995,0.23,-0.011,0.02,322.89950000000005,0.21,0.024000000000000004,0.02
323.4245,0.224,-0.011,0.02,323.9495,0.20400000000000001,0.024000000000000004,0.02
324.474,0.219,-0.011,0.02,324.9995,0.198,0.024000000000000004,0.02
325.5245,0.214,-0.011,0.02,326.05,0.191,0.024000000000000004,0.02
326.5745,0.20800000000000002,-0.011,0.02,327.1,0.185,0.024000000000000004,0.02
327.6245,0.202,-0.011,0.02,328.15049999999997,0.178,0.024000000000000004,0.02
328.67449999999997,0.196,-0.011,0.02,329.201,0.171,0.024000000000000004,0.02
329.7245,0.19,-0.011,0.02,330.251,0.163,0.024000000000000004,0.02
330.775,0.183,-0.011,0.02,331.301,0.155,0.024000000000000004,0.02
331.8255,0.176,-0.011,0.02,332.352,0.147,0.024000000000000004,0.02
